% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
9.677	1	2	968	8	2	28	185	0	0	1
9.677	1	3	968	8	10	28	185	0	0	1
9.677	1	4	968	8	11	28	1836	0	0	1
9.678	1	5	968	9	9	28	185	0	0	0
9.678	1	3	968	9	10	22	1143	0	0	0
9.678	1	1	968	9	12	28	185	0	0	0
9.678	1	2	968	9	2	28	1479	0	0	1
9.678	1	3	968	9	10	28	549	0	0	1
9.678	1	4	968	9	11	28	185	0	0	1
9.679	1	5	968	10	9	22	1287	0	0	0
9.679	1	1	968	10	12	28	185	0	0	0
9.679	1	5	968	10	9	28	373	0	0	1
9.679	1	4	968	10	11	26	1239	0	0	1
9.679	1	6	968	10	15	28	373	0	0	1
9.68	1	5	969	1	9	22	693	0	0	0
9.68	1	1	969	1	12	28	1095	0	0	0
9.68	1	5	969	1	9	28	549	0	0	1
9.68	1	6	969	1	15	26	1063	0	0	1
9.68	1	10	969	1	16	28	373	0	0	1
9.681	1	1	969	2	12	28	2196	0	0	0
9.681	1	6	969	2	15	28	1836	0	0	1
9.681	1	10	969	2	16	28	373	0	0	1
9.682	1	7	969	3	1	24	1479	0	0	0
9.682	1	3	969	3	10	28	185	0	0	0
9.682	1	2	969	3	2	28	749	0	0	1
9.682	1	8	969	3	3	28	1287	0	0	1
9.682	1	10	969	3	16	28	185	0	0	1
9.683	1	7	969	4	1	26	1527	0	0	0
9.683	1	9	969	4	4	28	185	0	0	0
9.683	1	3	969	4	10	28	185	0	0	0
9.683	1	10	969	4	16	28	2196	0	0	1
9.684	1	3	969	5	10	28	2196	0	0	0
9.684	1	8	969	5	3	28	2196	0	0	1
9.685	1	3	969	6	10	24	1335	0	0	0
9.685	1	1	969	6	12	28	373	0	0	0
9.685	1	3	969	6	10	28	1287	0	0	1
9.685	1	4	969	6	11	28	549	0	0	1
9.685	1	6	969	6	15	28	373	0	0	1
9.686	1	3	969	7	10	24	1335	0	0	0
9.686	1	1	969	7	12	28	373	0	0	0
9.686	1	3	969	7	10	28	1287	0	0	1
9.686	1	4	969	7	11	28	549	0	0	1
9.686	1	6	969	7	15	28	373	0	0	1
9.687	1	9	969	8	4	28	185	0	0	0
9.687	1	5	969	8	9	22	1031	0	0	0
9.687	1	1	969	8	12	28	373	0	0	0
9.687	1	8	969	8	3	28	185	0	0	1
9.687	1	5	969	8	9	28	549	0	0	1
9.687	1	6	969	8	15	26	1239	0	0	1
9.688	1	5	969	9	9	24	1063	0	0	0
9.688	1	1	969	9	12	26	621	0	0	0
9.688	1	8	969	9	3	28	749	0	0	1
9.688	1	5	969	9	9	28	185	0	0	1
9.688	1	6	969	9	15	28	1287	0	0	1
9.689	1	7	969	10	1	28	185	0	0	0
9.689	1	9	969	10	4	28	1287	0	0	0
9.689	1	5	969	10	9	26	621	0	0	0
9.689	1	2	969	10	2	28	185	0	0	1
9.689	1	6	969	10	15	26	1692	0	0	1
9.69	1	9	970	1	4	28	185	0	0	0
9.69	1	7	970	1	1	28	185	0	0	0
9.69	1	5	970	1	9	26	1527	0	0	0
9.69	1	10	970	1	16	28	2196	0	0	1
9.691	1	9	970	2	4	24	1063	0	0	0
9.691	1	5	970	2	9	28	749	0	0	0
9.691	1	4	970	2	11	22	1143	0	0	1
9.691	1	10	970	2	16	28	373	0	0	1
9.692	1	9	970	3	4	26	1383	0	0	0
9.692	1	5	970	3	9	28	549	0	0	0
9.692	1	4	970	3	11	22	1143	0	0	1
9.692	1	10	970	3	16	28	373	0	0	1
9.693	1	7	970	4	1	28	185	0	0	0
9.693	1	9	970	4	4	28	1095	0	0	0
9.693	1	5	970	4	9	28	935	0	0	0
9.693	1	4	970	4	11	28	2052	0	0	1
9.693	1	10	970	4	16	28	185	0	0	1
9.694	1	9	970	5	4	28	185	0	0	0
9.694	1	7	970	5	1	26	1692	0	0	0
9.694	1	10	970	5	16	28	2196	0	0	1
9.695	1	7	970	6	1	28	935	0	0	0
9.695	1	9	970	6	4	24	935	0	0	0
9.695	1	8	970	6	3	28	185	0	0	1
9.695	1	10	970	6	16	28	2052	0	0	1
9.696	1	1	970	7	12	28	2196	0	0	0
9.696	1	2	970	7	2	26	1239	0	0	1
9.696	1	8	970	7	3	28	749	0	0	1
9.697	1	9	970	8	4	28	549	0	0	0
9.697	1	1	970	8	12	26	1383	0	0	0
9.697	1	2	970	8	2	28	1287	0	0	1
